old_name,planned_new_name,final_new_name,status,reason
det_RDD2022_ALL_yolov8m_640_ep300_bs16_seed42_baseline__voc2yolo-all-v1,train_det_rdd2022_all_v8m_voc2yolo-all-v1,train_det_rdd2022_all_v8m_voc2yolo-all-v1,renamed,ok
det_RDD2022_China_yolov8n_1024_ep300_bs16_seed42_baseline__drone-and-motorbike-mixed,train_det_rddcn_v8n_drone-and-motorbike-mixe,train_det_rddcn_v8n_drone-and-motorbike-mixe,renamed,ok
det_RDD2022_India_yolov8n_640_ep10_bs16_seed42_smoke__voc2yolo-v1,train_det_rdd2022_india_v8n_voc2yolo-v1,train_det_rdd2022_india_v8n_voc2yolo-v1,renamed,ok
det_RDD2022_Japan_yolov8n_640_ep10_bs16_seed42_smoke__voc2yolo-v1,train_det_rdd2022_japan_v8n_voc2yolo-v1,train_det_rdd2022_japan_v8n_voc2yolo-v1,renamed,ok
seg_CRACK500_ALL_yolov8n-seg_640_ep200_bs16_seed42_baseline__mask2poly-traincrop-valcrop,train_seg_crack500_v8nseg_mask2poly-traincrop-valc,train_seg_crack500_v8nseg_mask2poly-traincrop-valc,renamed,ok
seg_CRACK500_ALL_yolov8n-seg_800_ep200_bs24_seed42_baseline__mask2poly-v2__open1close1__eps0p001__max500,train_seg_crack500_v8nseg_mask2poly-v2__open1close,train_seg_crack500_v8nseg_mask2poly-v2__open1close,renamed,ok
seg_CSC_2649_yolov8n-seg_800_ep200_bs24_seed42_ftbest__mask2poly-v2__open1close1__eps0p001__max500,train_seg_csc2649_v8nseg_mask2poly-v2__open1close,train_seg_csc2649_v8nseg_mask2poly-v2__open1close,renamed,ok
seg_psegRDD_China_yolov8n-seg_512_ep25_bs16_seed42_pseudoFT__d20_sg400_sc35,train_seg_psegrdd_china_v8nseg_d20_sg400_sc35,train_seg_psegrdd_china_v8nseg_d20_sg400_sc35,renamed,ok
segFT__pseg512_det20_sg400_sc55_mr2_seed42,train_seg_rddcn_best_pseg512_det20_sg400_sc55,train_seg_rddcn_best_pseg512_det20_sg400_sc55,migrated,manual_confirmed_by_user
